hidden_size,num_iters,batch_size,learning_rate,reg,train_loss,val_loss,train_acc,val_acc
50,1000,200,0.0001,0.25,1.959963776611271,1.9625080132008197,0.2765102040816326,0.282
75,1000,200,0.0001,0.25,1.9371488319783747,1.9416634120552767,0.29389795918367345,0.282
50,1000,100,0.0001,0.25,1.943104648892612,1.9434641989108967,0.2896734693877551,0.282
50,1000,200,0.0001,0.01,1.9504893620050159,1.9560256863717804,0.28351020408163263,0.281
50,1000,100,0.0001,0.01,1.9294910069086664,1.9354082499705825,0.29051020408163264,0.27699999999999997
75,1000,100,1e-05,0.25,2.3021044032253584,2.3021095246438743,0.2216530612244898,0.249
75,1000,200,1e-05,0.1,2.3021034617770515,2.3021094369388173,0.23651020408163265,0.247
75,1000,200,1e-05,0.01,2.302091094821592,2.3020833397977807,0.22446938775510206,0.245
50,2000,100,1e-05,0.1,2.300156213141745,2.3001727520404085,0.22183673469387755,0.24
50,1000,100,1e-05,0.01,2.3022693017134395,2.3022819511537502,0.2239183673469388,0.239
50,1000,200,1e-05,0.1,2.302145293228623,2.3021604967634484,0.2329183673469388,0.239
50,1000,100,1e-05,0.25,2.302176247987725,2.3021694911191912,0.22677551020408165,0.239
50,1000,200,1e-05,0.001,2.3022262857195916,2.302230389624142,0.21189795918367346,0.23199999999999998
75,1000,100,1e-05,0.1,2.3020721882344453,2.3020850510607103,0.2353265306122449,0.22699999999999998
50,1000,100,1e-05,0.1,2.302205896762407,2.302208304778824,0.2016938775510204,0.221
75,1000,200,1e-05,0.001,2.302101915464083,2.3021144116287457,0.21146938775510205,0.21899999999999997
75,1000,200,1e-05,0.25,2.302028953235648,2.3020397907299675,0.2092857142857143,0.218
75,1000,100,1e-05,0.01,2.3018349593305563,2.3018365463109305,0.2168571428571429,0.217
75,2000,200,1e-05,0.1,2.2983852692148257,2.29836637008437,0.20046938775510206,0.214
50,2000,100,1e-05,0.25,2.299285123855584,2.2993271662184904,0.1996734693877551,0.212
75,2000,100,1e-05,0.001,2.2977122204175093,2.29772582232346,0.19687755102040816,0.207
50,1000,200,1e-05,0.01,2.302231286856052,2.3022429044017274,0.20918367346938774,0.20600000000000002
50,2000,200,1e-05,0.1,2.3005598489857126,2.3005463180850194,0.19255102040816327,0.20600000000000002
75,2000,200,1e-05,0.01,2.2998495750602244,2.2998729459491134,0.1973265306122449,0.205
75,2000,200,1e-05,0.001,2.29902258157144,2.299033021855933,0.1920204081632653,0.204
75,2000,100,1e-05,0.01,2.2965459060407216,2.296460356392881,0.1936734693877551,0.204
75,1000,100,1e-05,0.001,2.3019078537691104,2.3019276983063524,0.18471428571428566,0.204
50,2000,200,1e-05,0.25,2.300661898182183,2.300710643879143,0.20318367346938776,0.19899999999999998
50,2000,200,1e-05,0.01,2.2999692326759518,2.2999666983524367,0.18583673469387754,0.19899999999999998
75,2000,100,1e-05,0.1,2.2980069748777128,2.2979785875290117,0.19142857142857145,0.19699999999999998
50,2000,200,1e-05,0.001,2.301133902705446,2.30116270231555,0.18914285714285714,0.193
75,2000,100,1e-05,0.25,2.2977490307768997,2.297739650130564,0.18710204081632653,0.191
50,2000,100,1e-05,0.01,2.2993403488856603,2.2993922644582208,0.17744897959183673,0.188
50,2000,100,1e-05,0.001,2.29764240733867,2.2977304874706768,0.1856938775510204,0.18100000000000002
50,1000,200,1e-05,0.25,2.3021711542207037,2.3021803431577603,0.1912244897959184,0.179
75,2000,200,1e-05,0.25,2.2986725847151472,2.298735576624414,0.17391836734693875,0.177
50,1000,100,1e-05,0.001,2.302229543302837,2.302250451355211,0.18446938775510205,0.177
